;;;;;;;;;;
NO;F˜ž/FATURA ADI;TAR˜H;TUTAR;KDV;GEN.TOP.;HARCAMA;HARCAMA C˜NS˜;A€IKLAMA;D™NEM;D™KšLEN BETON
104;BS METAL GRUP;8.04.2019;45,43   ;8,18   ;53,61   ;MALZEME;HIRDAVAT;EL ARABASI 1 AD-YER FIR€ASI 1 AD;Nis.19;
105;BS METAL GRUP;9.04.2019;55,89   ;10,06   ;65,95   ;MALZEME;HIRDAVAT;BAžLIKLI KAYNAK MASKES˜ 1 AD-BAS˜C ELEKTROT 2 PKT;Nis.19;
106;TERCšMAN MALKHAZ BOLKVADZE;15.04.2019;45,00   ;0,00   ;45,00   ;VERG˜/HAR€;NOTER;ž˜RKET H˜SSE DEVR˜ TERCšME ve NOTER šCRET˜;Nis.19;
107;METALO-G LTD;15.04.2019;84,75   ;15,25   ;100,00   ;MALZEME;HIRDAVAT;BUHAR KAZANINA KL˜NGR˜K CONTA  30 AD;Nis.19;
108;BS METAL GRUP;15.04.2019;7,76   ;1,40   ;9,16   ;MALZEME;HIRDAVAT;BUHAR KAZANI N˜PEL 5 AD- TEFLON BANT 3 AD;Nis.19;
109;ž˜VAN˜ LTD;16.04.2019;36,00   ;0,00   ;36,00   ;D˜¦ER G˜DERLER;YEMEK;EREN BEY, TAHS˜N BEY, H. D™LEK, BADR˜ ™¦LE YEME¦˜;Nis.19;
110;ADALAET BAKANLI¦I (L˜BERTY BANK);16.04.2019;106,00   ;0,00   ;106,00   ;VERG˜/HAR€;HAR€;H˜SSE DEVR˜ VE MšDšR DE¦˜ž˜KL˜¦˜ ˜€˜N ™DENEN;Nis.19;
111;BS METAL GRUP;18.04.2019;7,24   ;1,30   ;8,54   ;MALZEME;HIRDAVAT;BARET 1 AD, AYNA 1 AD, KOL˜ BANDI 1 AD;Nis.19;
112;METALO-G LTD;18.04.2019;127,12   ;22,88   ;150,00   ;MALZEME;HIRDAVAT;100 VE 125 L˜K FLANž 2' žER AD, €Ež˜TL˜ CONTA ;Nis.19;
113;B˜BLUS˜ KIRTAS˜YE;18.04.2019;45,37   ;8,18   ;53,55   ;KIRTAS˜YE;KIRTAS˜YE;KIRTAS˜YE MALZ(A4 3 KOL˜, TELL˜ VE POžET DOSYA;Nis.19;
114;ž˜VAN˜ LTD;18.04.2019;29,00   ;0,00   ;29,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK, BADR˜ ™¦LE YEME¦˜;Nis.19;
