;;;;;;;;;;
NO;F˜ž/FATURA ADI;TAR˜H;TUTAR;KDV;GEN.TOP.;HARCAMA;HARCAMA C˜NS˜;A€IKLAMA;D™NEM;D™KšLEN BETON
552;BEJO LTD;6.09.2019;5,60   ;0,00   ;5,60   ;D˜¦ER G˜DERLER;YEMEK;™¦LE YEME¦˜ 3 K˜ž˜ PEYN˜R ;Eyl.19;
553;NET SERV˜CE LTD;6.09.2019;43,23   ;7,77   ;51,00   ;˜LET˜ž˜M;˜NTERNET;OF˜S ˜NTERNET ™DEME;Eyl.19;
554;TSULU LTD;7.09.2019;2,00   ;0,00   ;2,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;EKMEK;Eyl.19;
555;SOCAR PETROL;7.09.2019;18,00   ;0,00   ;18,00   ;LOJMAN;DO¦ALGAZ;LOJMAN 1 D. GAZ ™DEMES˜;Eyl.19;
556;S˜LKNET LTD;7.09.2019;35,00   ;0,00   ;35,00   ;LOJMAN;˜NTERNET;LOJMAN 1 ˜NTERNET, TV ™DEME;Eyl.19;
557;ENERGO PRO LTD;7.09.2019;20,00   ;0,00   ;20,00   ;LOJMAN;ELEKTR˜K;LOJMAN 1 ELEKTR˜K ™DEME;Eyl.19;
558;MAGT˜ GSM;7.09.2019;13,00   ;0,00   ;13,00   ;˜LET˜ž˜M;˜NTERNET;H. D™LEK HATTINA 5 GB ˜NTERNET-591503160;Eyl.19;
559;ASANS™R SERV˜S˜ LTD;7.09.2019;45,00   ;0,00   ;45,00   ;LOJMAN;A˜DAT;LOJMAN 1, 3 AYLIK A˜DAT(9-10-11 AYLAR);Eyl.19;
560;BMA -SAXLI KOBALADZ˜S;7.09.2019;35,00   ;0,00   ;35,00   ;LOJMAN;D˜¦ER;LOJMAN 1 ASANS™R €˜P˜ VE KULLANIMI 2 AD;Eyl.19;
561;SUAT LTD;7.09.2019;92,00   ;0,00   ;92,00   ;D˜¦ER G˜DERLER;YEMEK;AKžAM YEME¦˜ 3 K˜ž˜(TAHS˜N, KEMAL BEY, HD);Eyl.19;
562;˜NOKS LTD;23.09.2019;20,00   ;0,00   ;20,00   ;MALZEME;HIRDAVAT;KAYNAK MASKES˜ CAMI. 27.06.2019 TAR˜H˜NDE ALINMIžTI.FT KES˜LMEY˜ UNUTMUžLAR;Eyl.19;
563;˜ž€˜L˜KLER;31.08.2019;130.796,87   ;0,00   ;130.796,87   ;˜ž€˜L˜K;MAAž;A¦USTOS 2019 MAAžLAR;A§u.19;
564;˜NOKS LTD;1.08.2019;302,54   ;54,46   ;357,00   ;MALZEME;HIRDAVAT;˜ž AYAKKABISI-BARET-YELEK-SšRGšLš K˜L˜T-TEBEž˜R;A§u.19;
565;˜NOKS LTD;3.08.2019;166,95   ;30,05   ;197,00   ;MALZEME;HIRDAVAT;TERCšMES˜ GELECEK;A§u.19;
566;˜NOKS LTD;3.08.2019;5,93   ;1,07   ;7,00   ;MALZEME;HIRDAVAT;BARET BEYAZ;A§u.19;
567;˜NOKS LTD;5.08.2019;201,27   ;36,23   ;237,50   ;MALZEME;HIRDAVAT;TERCšMES˜ GELECEK;A§u.19;
568;˜NOKS LTD;6.08.2019;247,46   ;44,54   ;292,00   ;MALZEME;HIRDAVAT;TERCšMES˜ GELECEK;A§u.19;
569;SOCAR PETROL;14.08.2019;432,20   ;77,80   ;510,00   ;AKARYAKIT;AKARYAKIT;EURO D˜ZEL . 510 LT;A§u.19;
570;SOCAR PETROL;14.08.2019;633,05   ;113,95   ;747,00   ;AKARYAKIT;AKARYAKIT;EURO D˜ZEL . 300 LT;A§u.19;
571;BES ™DEMES˜. ˜ž€˜ VE ˜ž VEREN;28.09.2019;1.772,16   ;0,00   ;1.772,16   ;˜ž€˜L˜K;BES;A¦USTOS 2019 ˜ž€˜L˜KLERE A˜T  ˜ž€˜+ ˜žVEREN BES PAYLARI;A§u.19;
572;MAGT˜ GSM;7.09.2019;161,27   ;29,03   ;190,30   ;˜LET˜ž˜M;TELEFON/˜NTERNET;TELEFON H˜ZMET˜;A§u.19;
573;MAGT˜ GSM;10.09.2019;2,12   ;0,38   ;2,50   ;˜LET˜ž˜M;TELEFON/˜NTERNET;˜€ ˜žLER˜ BAKANLI¦I 112 SMS B˜LD˜R˜M;A§u.19;
574;˜NOKS LTD;5.08.2019;785,59   ;141,41   ;927,00   ;MALZEME;HIRDAVAT;KAU€UK PR˜Z - 6 LI PR˜Z - SPATULA-ELD˜VEN;A§u.19;
575;˜NOKS LTD;5.08.2019;244,92   ;44,08   ;289,00   ;MALZEME;HIRDAVAT;TEBEž˜R-€IRPI ˜P˜ - AHžAP DEL˜C˜ U€ - KERPETEN;A§u.19;
576;˜NOKS LTD;17.08.2019;101,69   ;18,31   ;120,00   ;MALZEME;HIRDAVAT;˜ž AYAKKABISI 3 ADET;A§u.19;
577;˜NOKS LTD;19.08.2019;154,24   ;27,76   ;182,00   ;MALZEME;HIRDAVAT;˜ž AYAKKABISI - ELEKTR˜K BANDI -  MAKET BI€A¦I;A§u.19;
578;˜NOKS LTD;20.08.2019;468,90   ;84,40   ;553,30   ;MALZEME;HIRDAVAT;˜ž AYAKKABISI - KESME TAžI - YELEK-BUAT;A§u.19;
579;˜NOKS LTD;21.08.2019;14,41   ;2,59   ;17,00   ;MALZEME;HIRDAVAT;RULO FIR€A BOYA ˜€˜N - ANAHTAR;A§u.19;
580;˜NOKS LTD;22.08.2019;112,71   ;20,29   ;133,00   ;MALZEME;HIRDAVAT;FAL€ATA-ELEKTROT-˜ž AYAKKABISI;A§u.19;
581;˜NOKS LTD;23.08.2019;929,66   ;167,34   ;1.097,00   ;MALZEME;HIRDAVAT;ELD˜VEN  - FIR€A SAPI - S˜LME TAžI-€ANAK FIR€A;A§u.19;
582;˜NOKS LTD;24.08.2019;61,86   ;11,14   ;73,00   ;MALZEME;HIRDAVAT;AHžAP DA˜RE TESTERE- ANAHTAR-ALYAN- 3 CM FIR€A;A§u.19;
583;˜NOKS LTD;26.08.2019;473,73   ;85,27   ;559,00   ;MALZEME;HIRDAVAT;SP˜RAL KABLO BORUSU-˜ž AYAKKABISI-3*1,5 KABLO;A§u.19;
584;˜NOKS LTD;27.08.2019;233,05   ;41,95   ;275,00   ;MALZEME;HIRDAVAT;YA¦MURLUK-FIR€A;A§u.19;
585;˜NOKS LTD;2.09.2019;351,69   ;63,31   ;415,00   ;MALZEME;HIRDAVAT;KESME TAžI-YELEK-ELD˜VEN-FIR€A;A§u.19;
586;˜NOKS LTD;4.09.2019;207,63   ;37,37   ;245,00   ;MALZEME;HIRDAVAT;V˜DA-TEFLON-TEBEž˜R-ELD˜VEN-Z˜L;A§u.19;
587;˜NOKS LTD;5.09.2019;46,61   ;8,39   ;55,00   ;MALZEME;HIRDAVAT;FIR€A SAPI-KURBA¦ACIK;A§u.19;
588;VERG˜ DA˜RES˜ ;31.08.2019;0,00   ;76.089,69   ;76.089,69   ;VERG˜/HAR€;KDV-1;KDV.A¦USTOS 2019;A§u.19;
589;VERG˜ DA˜RES˜ ;31.08.2019;26.856,74   ;0,00   ;26.856,74   ;VERG˜/HAR€;˜ž€˜ VERG˜S˜-MUHTASAR;˜ž€˜ VERG˜S˜-MUHTASAR. A¦USTOS  2019;A§u.19;
590;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;7.10.2019;676,18   ;0,00   ;676,18   ;MALZEME;HIRDAVAT;228$=GEZER €EL˜K BURUNLU €˜ZME;Eyl.19;
591;GENAD˜ DEKANADZE;7.09.2019;742,50   ;0,00   ;742,50   ;LOJMAN;K˜RA BEDEL˜;LOJMAN 1 A¦USTOS 2019 K˜RASI;Eyl.19;
592;DAV˜T TAK˜DZE;7.09.2019;400,00   ;0,00   ;400,00   ;LOJMAN;K˜RA BEDEL˜;LOJMAN 2 EYLšL 2019 K˜RASI;Eyl.19;
593;TSULU LTD;10.09.2019;3,48   ;0,00   ;3,48   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;KAHVALTI ˜€˜N PEYN˜R;Eyl.19;
594;RAMZ˜RA VARSHAN˜DZE;10.09.2019;4,90   ;0,00   ;4,90   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;KAHVALTI ˜€˜N DOMATES, EKMEK;Eyl.19;
595;MED˜NA HASTANES˜;11.09.2019;148,00   ;0,00   ;148,00   ;SA¦LIK;˜ž KAZASI;ERCAN KO€ HASTANE šCRET˜ (˜ž KAZASI GE€˜RD˜);Eyl.19;
596;PANACEA LTD-ECZANE;11.09.2019;46,45   ;0,00   ;46,45   ;SA¦LIK;˜ž KAZASI;ERCAN KO€ ˜LA€ ALIMI;Eyl.19;
597;TSULU LTD;11.09.2019;9,46   ;0,00   ;9,46   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;KAHVALTILIK MALZ.;Eyl.19;
598;ROLAN BERSENADZE;11.09.2019;8,00   ;0,00   ;8,00   ;MALZEME;ELEKTR˜K MALZEME;LEH˜M TEL˜;Eyl.19;
599;TSULU LTD;11.09.2019;2,86   ;0,00   ;2,86   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;EKMEK, DOMATES;Eyl.19;
600;TUTANAK;11.09.2019;70,00   ;0,00   ;70,00   ;TAM˜R/BAKIM;06 AGR 36;H˜ UP RADYAT™R TAM˜R˜;Eyl.19;
601;D˜REKT DEB˜T GEORG˜A LTD;12.09.2019;200,00   ;0,00   ;200,00   ;SA¦LIK;˜ž KAZASI;GOCHA PAPADZE HASTANE šCRET˜ (˜ž KAZASI);Eyl.19;
602;ELDAR EK˜M˜AN˜;12.09.2019;9,00   ;0,00   ;9,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE SU 12 AD;Eyl.19;
603;MAC˜T ALPUTA˜M;12.09.2019;12,50   ;0,00   ;12,50   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;KALEM P˜L-6 AD;Eyl.19;
604;E-2010 LTD;12.09.2019;20,00   ;0,00   ;20,00   ;KIRTAS˜YE;KIRTAS˜YE;A4 2 PAKET;Eyl.19;
605;SOCAR GAS LTD;12.09.2019;28,00   ;0,00   ;28,00   ;LOJMAN;DO¦ALGAZ;LOJMAN 2 DO¦ALGAZ ™DEME;Eyl.19;
606;TARAS LAST˜K;12.09.2019;15,00   ;0,00   ;15,00   ;TAM˜R/BAKIM;ELEPHANT;ELEFANT LAST˜K S˜BOP ALIMI;Eyl.19;
607;SUAT LTD;12.09.2019;103,00   ;0,00   ;103,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, MšHEND˜SLERLE YEMEK;Eyl.19;
608;TSULU LTD;13.09.2019;2,00   ;0,00   ;2,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;EKMEK;Eyl.19;
609;G˜GA 2010 LTD;15.09.2019;10,60   ;0,00   ;10,60   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PET BARDAK;Eyl.19;
610;G˜GA 2010 LTD;15.09.2019;9,07   ;0,00   ;9,07   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PET BARDAK;Eyl.19;
611;G˜GA 2010 LTD;15.09.2019;10,00   ;0,00   ;10,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PET BARDAK;Eyl.19;
612;BATUM L˜FT SERV˜S˜;16.09.2019;16,00   ;0,00   ;16,00   ;LOJMAN;D˜¦ER;LOJMAN ASANS™R €˜P PARA YšKLEME;Eyl.19;
613;SS. OPPA;17.09.2019;36,00   ;0,00   ;36,00   ;LOJMAN;˜NTERNET;LOJMAN 2 ˜NTERNET;Eyl.19;
614;ENERGO PRO LTD;17.09.2019;152,00   ;0,00   ;152,00   ;LOJMAN;ELEKTR˜K;LOJMAN 2 ELEKTR˜K;Eyl.19;
615;L˜BERTY BANK;6.09.2019;108,00   ;0,00   ;108,00   ;VERG˜/HAR€;KDV-1;TAHS˜N ™ZMEN GšMRšK KDV (SP˜RAL,TORX, MAK˜TA DEL˜C˜);Eyl.19;
616;PANACEA PLUS LTD;16.09.2019;86,75   ;;86,75   ;SA¦LIK;SA¦LIK;BED˜R PALA ˜LA€ (KALIP€I);Eyl.19;
617;MED˜NA HASTANE LTD;16.09.2019;124,00   ;;124,00   ;SA¦LIK;SA¦LIK;BED˜R PALA MUAYENE šCRET˜;Eyl.19;
618;SUAT LTD;15.09.2019;68,00   ;;68,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY MšHEND˜SLERLE YEMEK;Eyl.19;
619;BMA SAHL˜ KOBALADZ˜S;17.09.2019;65,00   ;;65,00   ;LOJMAN;D˜¦ER;LOJMAN 1 OTOPARK KUMANDASI;Eyl.19;
620;MAGT˜ COM;21.09.2019;15,00   ;;15,00   ;˜LET˜ž˜M;TELEFON/˜NTERNET;591901770 TAHS˜N BEY HATTINA 5 GB ˜NTERNET;Eyl.19;
621;MERAB DEVADZE;19.09.2019;11,00   ;;11,00   ;TAM˜R/BAKIM;ELEPHANT;ELEFANT CAMI ˜€˜N YAPIžTIRICI;Eyl.19;
622;UN˜VERSAL LTD;19.09.2019;34,00   ;;34,00   ;TAM˜R/BAKIM;ELEPHANT;ELEFANTA CAM;Eyl.19;
623;TSULU LTD;19.09.2019;19,45   ;;19,45   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE KAHVALTILIK MALZ;Eyl.19;
624;TSULU LTD;20.09.2019;2,00   ;;2,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;EKMEK;Eyl.19;
625;˜MED˜ 2010 LTD;20.09.2019;20,00   ;;20,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;SšNGER;Eyl.19;
626;HEKATE LTD;17.09.2019;3,00   ;;3,00   ;SA¦LIK;˜ž KAZASI;ERCAN KO€ ˜LA€ (˜ž KAZA GE€˜RM˜žT˜);Eyl.19;
627;MED˜NA HASTANE LTD;17.09.2019;65,00   ;;65,00   ;SA¦LIK;˜ž KAZASI;ERCAN KO€ MUAYENE šCRET˜;Eyl.19;
628;SUAT LTD;21.09.2019;91,00   ;;91,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY , ONUR, H.D™LEK YEMEK;Eyl.19;
629;TSULU LTD;23.09.2019;11,40   ;;11,40   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE KAHVALTILIK MALZ;Eyl.19;
630;STEEL KABLO LTD;24.09.2019;360,00   ;;360,00   ;MALZEME;HIRDAVAT;10 mm 80 mt €EL˜K HALAT;Eyl.19;
631;RAUL KAMADADZE;24.09.2019;52,00   ;;52,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;DAMACANA 6 AD;Eyl.19;
632;SUAT LTD;24.09.2019;72,03   ;12,97   ;85,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY , ONUR, H.D™LEK YEMEK;Eyl.19;
633;TSULU LTD;25.09.2019;5,83   ;;5,83   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PEYN˜K, EKMEK;Eyl.19;
634;SONA LTD;25.09.2019;20,00   ;;20,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;TAHTA €AY KARIžTIRICI 6 KUTU;Eyl.19;
635;H˜DRO GRUP LTD;26.09.2019;2,50   ;;2,50   ;MALZEME;HIRDAVAT;OR˜NG 2 AD;Eyl.19;
636;NEO FARMA LTD;26.09.2019;19,20   ;;19,20   ;SA¦LIK;SA¦LIK;MEHMET €AM G™Z ˜€˜N ˜LA€;Eyl.19;
637;RESPUBL˜KUR˜ HASTANES˜ LTD;26.09.2019;40,00   ;;40,00   ;SA¦LIK;SA¦LIK;MEHMET €AM G™Z €APAK €IKARMA šCRET˜;Eyl.19;
638;NOVA LTD;27.09.2019;7,00   ;;7,00   ;LOJMAN;D˜¦ER;MUSLUK 1 AD-LOJMAN;Eyl.19;
639;YAL€IN MARKET LTD;13.09.2019;88,65   ;;88,65   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 3 KG, žEKER 5 KG PE€ETE, ;Eyl.19;
640;YAL€IN MARKET LTD;19.09.2019;289,18   ;;289,18   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 4, žEKER 15, TEM˜ZL˜K MALZ.;Eyl.19;
641;MAR˜ 2015 LTD;25.09.2019;36,00   ;;36,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PET BARDAK 3000 AD;Eyl.19;
642;˜NOKS LTD;23.09.2019;320,00   ;;320,00   ;MALZEME;HIRDAVAT;80 L˜K KšRESEL  VANA 2 AD;Eyl.19;
643;NOVA LTD;23.09.2019;47,00   ;;47,00   ;MALZEME;HIRDAVAT;˜ž AYAKKABISI;Eyl.19;
644;TUTANAK;20.09.2019;20,00   ;;20,00   ;D˜¦ER G˜DERLER;D˜¦ER;TIR ž™F™RšNE €ADIR YIRTILMA BEDEL˜;Eyl.19;
645;TUTANAK;24.09.2019;200,00   ;;200,00   ;D˜¦ER G˜DERLER;D˜¦ER;4 ˜ž€˜ €˜MENTO ˜ND˜RME šCRET˜;Eyl.19;
646;YAL€IN MARKET;26.09.2019;130,35   ;;130,35   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 4, žEKER, TEM˜ZL˜K VS;Eyl.19;
647;TSULU LTD;28.09.2019;4,06   ;;4,06   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE MEYVE;Eyl.19;
648;TSULU LTD;28.09.2019;15,00   ;;15,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;KAHVALTILIK MALZ;Eyl.19;
649;TENG˜Z TSETSHLADZE;28.09.2019;6,00   ;;6,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE MEYVE;Eyl.19;
650;MAC˜T ALPUTA˜M;29.09.2019;15,90   ;;15,90   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;KALEM P˜L 8 AD;Eyl.19;
651;TSULU LTD;29.09.2019;2,00   ;;2,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;EKMEK;Eyl.19;
652;MED˜NA HASTANES˜ LTD;28.09.2019;112,00   ;;112,00   ;TAM˜R/BAKIM;ELEPHANT;ELEFANT OPRT. GOCHA PAPADZE MUAYENE šCRET˜;Eyl.19;
653;˜V˜G˜ LTD;29.09.2019;48,00   ;;48,00   ;D˜¦ER G˜DERLER;D˜¦ER;MODEM ;Eyl.19;
654;SUAT LTD;29.09.2019;100,00   ;;100,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, BAHATT˜N, H D™LEK YEMEK;Eyl.19;
655;TSULU LTD;30.09.2019;2,00   ;;2,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;EKMEK;Eyl.19;
656;META LTD;30.09.2019;230,00   ;;230,00   ;TAM˜R/BAKIM;ELEPHANT;ELEFANT LARA HAVA VE YA¦ F˜LTRES˜ (2' žER AD);Eyl.19;
657;META LTD;30.09.2019;7,50   ;;7,50   ;TAM˜R/BAKIM;ELEPHANT;KUTUP BAžI 1 AD;Eyl.19;
658;MšTEFER˜K HARCAMA;30.09.2019;49,88   ;;49,88   ;D˜¦ER G˜DERLER;D˜¦ER;€Ež˜TL˜ žANT˜YE HARCAMALARI.KOLTUK TAM˜R˜ - DOLMUž šCRET˜-KAHVALTI;Eyl.19;
659;˜NOKS LTD;1.10.2019;255,00   ;;255,00   ;MALZEME;HIRDAVAT;MERD˜VEN (5 mt ALšM˜NYUM) 1 AD;Eki.19;
660;ENDAR ANAN˜DZE;1.10.2019;55,00   ;;55,00   ;MALZEME;HIRDAVAT;F˜LTRE ANAHTARI 1 AD, KUTUP BAžI 1 AD;Eki.19;
661;N˜TA LTD;1.10.2019;11,00   ;;11,00   ;D˜¦ER G˜DERLER;YEMEK;™¦LE YEME¦˜ 4 K˜ž˜ (H. D™LEK);Eki.19;
662;TIRSAN LTD;1.10.2019;310,00   ;;310,00   ;TAM˜R/BAKIM;LANCH˜NG G˜RDER;LAN€ JENERAT™RE(F˜LTRE 4, DEPO KAPAK, BALATA TEM˜ZLEY˜C˜);Eki.19;
663;˜MO MOTORS LTD;1.10.2019;234,00   ;;234,00   ;TAM˜R/BAKIM;LANCH˜NG G˜RDER;MOTOR YA¦I 15/40W 36 KG;Eki.19;
664;TSULU LTD;2.10.2019;11,70   ;;11,70   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE KAHVALTILIK;Eki.19;
665;META LTD;2.10.2019;142,00   ;;142,00   ;TAM˜R/BAKIM;06 AGR 36;HI UP BOMLARA 15 AD KE€E;Eki.19;
666;H˜DRO GRUP LTD;2.10.2019;55,00   ;;55,00   ;TAM˜R/BAKIM;06 AGR 36;HI UP BOMLARA 4 AD KE€E;Eki.19;
667;H˜DRO GRUP LTD;3.10.2019;20,00   ;;20,00   ;TAM˜R/BAKIM;06 AGR 36;HI UP KE€E VE OR˜NG 1' ER AD;Eki.19;
668;YAL€IN MARKET LTD;3.10.2019;156,44   ;;156,44   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE €AY, žEKER, (LOJMAN) TEM˜ZL˜K MALZ;Eki.19;
669;SOCAR GAS;3.10.2019;8,00   ;;8,00   ;LOJMAN;DO¦ALGAZ;LOJMAN 1 DO¦ALGAZ;Eki.19;
670;ENERGO PRO;3.10.2019;15,00   ;;15,00   ;LOJMAN;ELEKTR˜K;LOJMAN 1 ELEKTR˜K;Eki.19;
671;GENERAL MOTOR;3.10.2019;400,00   ;;400,00   ;TAM˜R/BAKIM;LANCH˜NG G˜RDER;AKš 2 AD. -LAN€ JENERAT™RE;Eki.19;
672;ZUGO LTD;4.10.2019;36,00   ;;36,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PET BARDAK 3000 AD;Eki.19;
673;RESPUBL˜KUR˜ HASTANES˜;4.10.2019;40,00   ;;40,00   ;SA¦LIK;D˜¦ER;HASAN SA€MALI G™ZDEN €APAK €IKARMA šCR;Eki.19;
674;˜MO MOTORS LTD;4.10.2019;108,00   ;;108,00   ;TAM˜R/BAKIM;D˜¦ER;90 NO MOTOR YA¦I 18 LT;Eki.19;
675;TSULU LTD;4.10.2019;2,00   ;;2,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;EKMEK;Eki.19;
676;SULKHAN KHOZREVAN˜DZE;5.10.2019;120,00   ;;120,00   ;TAM˜R/BAKIM;06 AGR 36;HI UP HORTUM YAPIMI;Eki.19;
677;SULKHAN KHOZREVAN˜DZE;5.10.2019;100,00   ;;100,00   ;TAM˜R/BAKIM;06 AGR 36;HI UP HORTUM BAžLIKLARI;Eki.19;
678;SUAT LTD;1.10.2019;28,00   ;;28,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY YEMEK;Eki.19;
679;VAJA GORGADZE;7.10.2019;3,00   ;;3,00   ;MALZEME;ELEKTR˜K MALZEME;AMPšL 1 AD;Eki.19;
680;OL˜MP˜ 2016;7.10.2019;6,00   ;;6,00   ;LOJMAN;D˜¦ER;LOJMAN 1 €AMAžIR MAK. HORTUMU;Eki.19;
681;OL˜MP˜ 2016;7.10.2019;1,00   ;;1,00   ;LOJMAN;D˜¦ER;LOJMAN 1 MUSLUK CONTASI;Eki.19;
682;TSULU LTD;7.10.2019;2,00   ;;2,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;EKMEK;Eki.19;
683;TSULU LTD;5.10.2019;15,31   ;;15,31   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;KAHVALTILIK MALZ;Eki.19;
684;VEL˜ K™Y LTD;3.10.2019;43,00   ;;43,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;YEMEK MALZ. (EREN, TAHS˜N BEY, BAHATT˜N, HAL˜M);Eki.19;
685;TSULU LTD;8.10.2019;2,00   ;;2,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;EKMEK;Eki.19;
686;TSULU LTD;8.10.2019;1,00   ;;1,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;EKMEK;Eki.19;
687;SUAT LTD;7.10.2019;100,00   ;;100,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, MR. LEE, OSMAN BEY YEMEK;Eki.19;
688;TAR˜EL LTD;9.10.2019;7,75   ;;7,75   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;AKžAM YEME¦˜ ˜€˜N SEBZE;Eki.19;
689;YAL€IN MARKET;10.10.2019;51,35   ;;51,35   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;žEKER 10, NESKAFE, SšT TOZU, PE€ETE;Eki.19;
690;YAL€IN MARKET;10.10.2019;104,00   ;;104,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 4 KG;Eki.19;
691;YAL€IN MARKET;11.10.2019;14,61   ;;14,61   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;KAHVALTILIK MALZ;Eki.19;
692;E-2010 LTD;11.10.2019;7,65   ;;7,65   ;KIRTAS˜YE;KIRTAS˜YE;KLAS™R 2, KALEM 13;Eki.19;
693;MAGT˜ COM;11.10.2019;12,00   ;;12,00   ;˜LET˜ž˜M;˜NTERNET;H. D™LEK HATTA 5 GB ˜NTERNET;Eki.19;
694;MAR˜NA ROBAK˜DZE;12.10.2019;30,00   ;;30,00   ;MALZEME;HIRDAVAT;PAR€A BEZ 10 KG;Eki.19;
695;AT˜LA LTD;7.10.2019;120,00   ;;120,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;TATLI (POLAT YOL OF˜SE);Eki.19;
696;C˜TADEL˜ LTD;7.10.2019;60,00   ;;60,00   ;MALZEME;HIRDAVAT;ELD˜VEN 60 AD;Eki.19;
697;GENAD DEKANADZE;7.10.2019;742,00   ;;742,00   ;LOJMAN;K˜RA BEDEL˜;LOJMAN 1 EYLšL K˜RASI;Eki.19;
698;DAV˜T TEKADZE;9.10.2019;316,00   ;;316,00   ;LOJMAN;K˜RA BEDEL˜;LOJMAN 2 EK˜M K˜RASI;Eki.19;
699;STELL KABLO LTD;10.10.2019;192,00   ;;192,00   ;MALZEME;ELEKTR˜K MALZEME;12 mm €EL˜K HALAT 32 mt. (SEK˜ZL˜ PORTAL);Eki.19;
700;TERCšMAN LTD;10.10.2019;100,00   ;;100,00   ;VERG˜/HAR€;NOTER;EREN BEY 2. MšDšR ATAMA ˜€˜N BELGE HAZIRLAMA;Eki.19;
701;DER˜T GEO LTD (MAL˜YE BAKANLI¦I);10.10.2019;106,00   ;;106,00   ;VERG˜/HAR€;NOTER;EREN BEY 2. MšDšR ATAMA ˜€˜N HAR€;Eki.19;
702;DEVLET HAZ˜NES˜;8.10.2019;102,50   ;;102,50   ;VERG˜/HAR€;GšMRšK;€˜ZMELER GšMRšK H˜ZMET BEDEL˜;Eki.19;
703;RAM˜N BER˜DZE;11.10.2019;50,00   ;;50,00   ;D˜¦ER G˜DERLER;D˜¦ER;€˜MENTO ˜ND˜RME šCRET˜ (1 TIR);Eki.19;
704;ROLAND SHAVADZE;11.10.2019;50,00   ;;50,00   ;D˜¦ER G˜DERLER;D˜¦ER;€˜MENTO ˜ND˜RME šCRET˜ (1 TIR);Eki.19;
705;TEMUR ARTMELADZE;11.10.2019;50,00   ;;50,00   ;D˜¦ER G˜DERLER;D˜¦ER;€˜MENTO ˜ND˜RME šCRET˜ (1 TIR);Eki.19;
706;M˜ND˜A USHAR˜DZE;11.10.2019;50,00   ;;50,00   ;D˜¦ER G˜DERLER;D˜¦ER;€˜MENTO ˜ND˜RME šCRET˜ (1 TIR);Eki.19;
